Name,Country,Years active,Proven victims,Possible victims,Notes
Luis Garavito,Colombia  Ecuador[3]  Venezuela[3],1992–1999[3],193,194–300+,"Child-murderer, torture-killer, and rapist known as ""La Bestia"" (""The Beast""). Garavito confessed to killing 140 boys between six and sixteen years old, from October 1992 to April 1999 in Colombia and neighboring countries.[3] He is suspected of murdering over 300 victims, mostly street children. Garavito was originally sentenced to 1,853 years in prison, but this was later reduced to 22 years, after he led police to many of the bodies of his victims.[4][5] He was scheduled to become eligible for parole in 2023.[6] He died on October 12, 2023.[7]"
Pedro López,Colombia  Peru  Ecuador,1969–1980,110,300+,"Child-murderer and rapist, known as ""The Monster of the Andes"". López targeted young girls, between the ages of eight and twelve. Arrested in 1980 and convicted in 1983 of killing three young girls, but claimed to have killed hundreds. Despite being believed to be one of the most prolific serial killers of the twentieth century, he was released in the late 1990s.[8]"
Javed Iqbal,Pakistan,1998–1999,100,100,"Child-murderer and rapist, known as ""Kukri"", Iqbal murdered 100 street children by strangling them and covering up his crimes by dissolving the bodies with acid. He was arrested in December 1999 after sending a letter to a newspaper, and was set to be executed in the manner described by the judge, who stated, ""You will be strangled to death in front of the parents whose children you killed"" and, ""Your body will then be cut into 100 pieces and put in acid, the same way you killed the children.""[9] However, he died in custody before he could be executed.[10]"
Mikhail Popkov,Russia,1992–2010,83,86+,"Serial rapist-killer nicknamed ""The Werewolf"", who was active for two decades in Angarsk, Irkutsk and Vladivostok. After being convicted of 22 murders in 2015, he confessed to an additional 59 murders, of which he was convicted of 56 in 2018.[11][12] In July 2020, Popkov confessed to more killings, bringing the total number of admitted victims to 83. He was convicted of additional two killings in 2021 and another three in 2023.[13] He was sentenced to life."
Daniel Camargo Barbosa,Colombia  Ecuador  Brazil (alleged)[14],1974–1986,72,180[14],"Child and woman murderer, believed to have possibly raped and killed over 150 victims, primarily targeting female children, as they were more likely to be virgins. Confessed to killing 72 victims. He strangled young girls in Colombia and was arrested, but he escaped from prison, and started killing in Ecuador. He was rearrested in 1986, and was allegedly incarcerated in the same Ecuadorian prison as 300+ serial killer Pedro López.[citation needed] Camargo was killed in jail by the nephew of one of his victims.[14][15]"
Pedro Rodrigues Filho,Brazil,1967–2003,71,100+,"Rodrigues Filho claimed to have killed over 100 victims, 47 of them inmates. He also killed his father (who had killed his mother) and ate a piece of his heart. He killed his first two victims at the age of 14. He was first arrested in 1973; he was convicted and sentenced to 128 years, but the maximum one can serve in Brazil is 30 years.[16] He was released in 2018. He was murdered by two men in 2023."
Kampatimar Shankariya,India,1977–1978,70,70+,"Shankariya was an Indian serial killer who used a hammer to kill over 70 men and women between 1978 and 1979. He was hanged in 1979; his last words were, ""I have murdered in vain"", he declared. ""Nobody should become like me.""[17][18][19][20]"
Hoshang Amini,Iran,1954–1962,67,67,"Known as the ""Ghost of the Qanat Wells"". Murdered 67 people in the city of Varamin from 1954 to 1962, sometimes aided by accomplices. He earned his nickname by decapitating his victims post-mortem and then dumping their bodies into wells.[21]"
Yang Xinhai,China,1999–2003,67,67,"Known as the ""Monster Killer"". Yang would enter victims' homes at night and kill using axes, meat cleavers, hammers, and shovels. He was executed by gunshot in 2004.[22]"
Abul Djabar,Afghanistan,1970 and earlier,65,300+,"Killed 65 men and boys by strangling them with turbans while raping them. Suspected of over 300 murders. Sentenced to death and hanged on October 21, 1970.[23]"
Samuel Little,United States,1970–2005,60,93,"Little was convicted of killing three women, but later investigations linked 31 other murders to him. He claimed he killed as many as 93 victims total, three above his initial confession of 90; the FBI later confirmed a total of 60 murders linked to Little. The investigations into his crimes are ongoing.[24][25]"
